                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     67,                0.07498,                 0.6371,                      1,                0.88861,             0.00048427,             0.00048427,             0.00048427
                     68,                0.07664,                0.64919,                      1,                 0.8764,             0.00048074,             0.00048074,             0.00048074
                     69,                0.05197,                0.68145,                      1,                0.86865,              0.0004772,              0.0004772,              0.0004772
                     70,                0.06688,                0.66532,                      1,                0.87244,             0.00047367,             0.00047367,             0.00047367
                     71,                 0.0458,                0.65726,                      1,                0.87817,             0.00047013,             0.00047013,             0.00047013
                     72,                0.05847,                0.64919,                      1,                 0.8938,              0.0004666,              0.0004666,              0.0004666
                     73,                0.05949,                0.65726,                      1,                0.88324,             0.00046306,             0.00046306,             0.00046306
                     74,                0.06936,                0.67742,                      1,                0.86597,             0.00045953,             0.00045953,             0.00045953
                     75,                0.06827,                0.65323,                      1,                0.87048,               0.000456,               0.000456,               0.000456
                     76,                0.06296,                0.69355,                      1,                0.86523,             0.00045246,             0.00045246,             0.00045246
                     77,                0.05834,                0.69355,                      1,                0.85938,             0.00044893,             0.00044893,             0.00044893
                     78,                0.05462,                0.69355,                      1,                0.85138,             0.00044539,             0.00044539,             0.00044539
                     79,                0.07212,                0.65323,                      1,                0.87384,             0.00044186,             0.00044186,             0.00044186
                     80,                0.05594,                0.63306,                      1,                0.89166,             0.00043832,             0.00043832,             0.00043832
                     81,                0.05374,                0.67339,                      1,                0.87653,             0.00043479,             0.00043479,             0.00043479
                     82,                0.05157,                0.66129,                      1,                0.88269,             0.00043126,             0.00043126,             0.00043126
                     83,                0.06333,                0.65726,                      1,                0.87231,             0.00042772,             0.00042772,             0.00042772
                     84,                0.05513,                0.64516,                      1,                0.88824,             0.00042419,             0.00042419,             0.00042419
                     85,                0.05428,                0.66129,                      1,                0.86865,             0.00042065,             0.00042065,             0.00042065
                     86,                0.04669,                0.66935,                      1,                0.87036,             0.00041712,             0.00041712,             0.00041712
                     87,                0.03625,                0.68145,                      1,                0.87146,             0.00041358,             0.00041358,             0.00041358
                     88,                0.05226,                0.68952,                      1,                0.85638,             0.00041005,             0.00041005,             0.00041005
                     89,                0.04119,                0.67742,                      1,                0.85553,             0.00040652,             0.00040652,             0.00040652
                     90,                0.04507,                0.68548,                      1,                0.85797,             0.00040298,             0.00040298,             0.00040298
                     91,                0.04934,                0.68145,                      1,                0.85773,             0.00039945,             0.00039945,             0.00039945
                     92,                0.05898,                0.67742,                      1,                0.83917,             0.00039591,             0.00039591,             0.00039591
                     93,                0.05321,                0.65323,                      1,                0.87964,             0.00039238,             0.00039238,             0.00039238
                     94,                0.05615,                0.66129,                      1,                0.87085,             0.00038884,             0.00038884,             0.00038884
                     95,                  0.054,                0.66129,                      1,                0.87036,             0.00038531,             0.00038531,             0.00038531
                     96,                0.05744,                0.68548,                      1,                0.85822,             0.00038178,             0.00038178,             0.00038178
                     97,                0.04984,                0.66935,                      1,                0.84851,             0.00037824,             0.00037824,             0.00037824
                     98,                0.04864,                0.69355,                      1,                0.84442,             0.00037471,             0.00037471,             0.00037471
                     99,                0.04479,                0.69758,                      1,                0.85718,             0.00037117,             0.00037117,             0.00037117
                    100,                0.05499,                0.66532,                      1,                0.86871,             0.00036764,             0.00036764,             0.00036764
                    101,                0.05322,                0.67339,                      1,                0.85785,              0.0003641,              0.0003641,              0.0003641
                    102,                0.04391,                0.67742,                      1,                0.86328,             0.00036057,             0.00036057,             0.00036057
                    103,                0.03154,                0.67742,                      1,                0.85901,             0.00035704,             0.00035704,             0.00035704
                    104,                0.03948,                0.67742,                      1,                0.86041,              0.0003535,              0.0003535,              0.0003535
                    105,                0.04133,                0.66935,                      1,                 0.8689,             0.00034997,             0.00034997,             0.00034997
                    106,                0.04186,                0.64919,                      1,                0.87555,             0.00034643,             0.00034643,             0.00034643
